api,sh_lat,sh_lon,county,well_name,well_number,operator,well_symbol,well_status,well_type
3507300182,36.1068099,-97.9896536,KINGFISHER,A TUTT A,#1,OTC/OCC NOT ASSIGNED,PLUGGED,PA,GAS
3507300183,36.0451691,-97.8158539,KINGFISHER,CONLEY,#1,OTC/OCC NOT ASSIGNED,PLUGGED,PA,DRY
3507300184,35.9090405,-97.6888179,KINGFISHER,STREIT,#1,OTC/OCC NOT ASSIGNED,PLUGGED,PA,OIL
3507300185,36.1393436,-98.0743162,KINGFISHER,DITMARS CHOATE,#1,JONES & PELLOW OIL CO,PLUGGED,PA,OIL
3507300186,36.0923394,-97.9005235,KINGFISHER,JONES,#2,OTC/OCC NOT ASSIGNED,PLUGGED,PA,OIL
3507300187,35.976278,-97.80692,KINGFISHER,L.N.U.,#100-1,BCE-MACH III LLC,OIL,TM,OIL
3507300188,36.034304,-97.82921,KINGFISHER,WATSON,#1,TWENTY/TWENTY OIL & GAS INC,OIL,AC,OIL
3507300189,36.0632847,-98.0030077,KINGFISHER,CHOATE,#1,OTC/OCC NOT ASSIGNED,PLUGGED,PA,OIL
3507300190,36.048884,-97.785023,KINGFISHER,OHERN,#1,BYNG ENERGY GROUP INC,STATE_FUNDS_PLUGGING,STFD,OIL
3507300191,36.1464686,-98.1411497,KINGFISHER,J W STURGEON,#1,OTC/OCC NOT ASSIGNED,PLUGGED,PA,DRY
3507300192,35.9218374,-98.0386466,KINGFISHER,BARNARD,#1,MILGLEN ENTERPRISES INC,PLUGGED,PA,OIL
3507300193,36.0995255,-98.0297697,KINGFISHER,TUTT,#1,OTC/OCC NOT ASSIGNED,PLUGGED,PA,GAS
3507300197,36.1031695,-98.0074792,KINGFISHER,GUNGOLL-CHOATE,#1,ZIMET BROTHERS INC,PLUGGED,PA,NT
3507300198,36.0885537,-98.0876712,KINGFISHER,UMBERGER,#1,OTC/OCC NOT ASSIGNED,PLUGGED,PA,OIL
3507300199,36.110152,-98.186128,KINGFISHER,NORRIS,#1,"GREAT HORNED OWLS, LLC",OIL,AC,OIL
3507300200,36.1501628,-97.6866244,KINGFISHER,LOUIS PEACH,#1,OTC/OCC NOT ASSIGNED,PLUGGED,PA,GAS
3507300201,35.9037596,-97.9851686,KINGFISHER,ROGERS UNIT,#1,OTC/OCC NOT ASSIGNED,PLUGGED,PA,DRY
3507300202,35.8800712,-97.711926,KINGFISHER,SARAH LOVE,#1,OTC/OCC NOT ASSIGNED,PLUGGED,PA,OIL
3507300203,36.052422,-97.98518,KINGFISHER,T J BUGG (HUFF),#A-1,BOGO ENERGY CORPORATION,PLUGGED,PA,OIL
3507300204,35.8973617,-97.7664601,KINGFISHER,HONEGGER,#1,OTC/OCC NOT ASSIGNED,PLUGGED,PA,OIL
3507300205,35.8955485,-97.7709158,KINGFISHER,HONEGGER,#2,OTC/OCC NOT ASSIGNED,PLUGGED,PA,GAS
3507300206,35.9761506,-97.699965,KINGFISHER,DUKE,#1,APACHE CORPORATION,PLUGGED,PA,DRY
3507300207,36.073986,-98.13225,KINGFISHER,NELSON,#1,WLW OIL & GAS LLC,OIL,AC,OIL
3507300208,36.118588,-97.977601,KINGFISHER,POWELL,#3,D & B OPERATING LLC,UIC,AC,2DCm
3507300209,36.0668925,-97.7802056,KINGFISHER,REDENBO-ROGERS,#1,OTC/OCC NOT ASSIGNED,PLUGGED,PA,OIL
3507300212,36.1358506,-97.8960602,KINGFISHER,ZELNICEK,#1,OTC/OCC NOT ASSIGNED,PLUGGED,PA,DRY
3507300213,36.0343037,-97.9718177,KINGFISHER,HUBBARD,#1,SAMSON RESOURCES COMPANY,PLUGGED,PA,OIL
3507300214,36.0379176,-97.9896433,KINGFISHER,PERIGO,#1,BRISCOE OIL COMPANY,PLUGGED,PA,OIL
3507300216,35.994594,-97.775987,KINGFISHER,L.N.U.(BROWN B1),#37-1,BCE-MACH III LLC,GAS,AC,GAS
